vehicle_id,device_id,ride_date,timestamp,battery_1_soc_pct,battery_2_soc_pct
116IAG,1086344,2026-07-17,2026-07-17T06:26:28.694000,,
116IAG,1086344,2026-07-17,2026-07-17T15:45:47.980000,98.0,
116IAG,1086344,2026-07-17,2026-07-17T15:58:36.066000,97.0,
116IAG,1086344,2026-07-17,2026-07-17T16:02:44.066000,96.0,
116IAG,1086344,2026-07-17,2026-07-17T16:03:53.888000,95.0,
116IAG,1086344,2026-07-17,2026-07-17T16:05:12.867000,94.0,
116IAG,1086344,2026-07-17,2026-07-17T16:11:45.002000,93.0,
116IAG,1086344,2026-07-17,2026-07-17T16:15:02.639000,,
116IAG,1086344,2026-07-17,2026-07-17T16:16:29.245000,93.0,
116IAG,1086344,2026-07-17,2026-07-17T16:16:48.745000,92.0,
116IAG,1086344,2026-07-17,2026-07-17T16:18:48.745000,91.0,
116IAG,1086344,2026-07-17,2026-07-17T16:20:54.345000,90.0,
116IAG,1086344,2026-07-17,2026-07-17T16:22:54.945000,89.0,
116IAG,1086344,2026-07-17,2026-07-17T16:27:34.745000,88.0,
116IAG,1086344,2026-07-17,2026-07-17T16:29:20.345000,87.0,
116IAG,1086344,2026-07-17,2026-07-17T16:30:41.259000,86.0,
116IAG,1086344,2026-07-17,2026-07-17T16:32:22.245000,85.0,
116IAG,1086344,2026-07-17,2026-07-17T16:48:01.645000,84.0,
116IAG,1086344,2026-07-17,2026-07-17T16:50:03.745000,83.0,
116IAG,1086344,2026-07-17,2026-07-17T16:53:12.745000,82.0,
116IAG,1086344,2026-07-17,2026-07-17T16:55:06.260000,81.0,
116IAG,1086344,2026-07-17,2026-07-17T17:00:17.745000,80.0,
116IAG,1086344,2026-07-17,2026-07-17T17:01:58.860000,79.0,
116IAG,1086344,2026-07-17,2026-07-17T17:07:17.447000,78.0,
116IAG,1086344,2026-07-17,2026-07-17T17:09:26.145000,77.0,
116IAG,1086344,2026-07-17,2026-07-17T17:14:28.444000,76.0,
116IAG,1086344,2026-07-17,2026-07-17T17:15:33.244000,75.0,
116IAG,1086344,2026-07-17,2026-07-17T17:17:14.946000,74.0,
116IAG,1086344,2026-07-17,2026-07-17T17:25:49.445000,73.0,
116IAG,1086344,2026-07-17,2026-07-17T17:27:10.945000,72.0,
116IAG,1086344,2026-07-17,2026-07-17T17:29:18.054000,71.0,
116IAG,1086344,2026-07-17,2026-07-17T17:31:10.045000,70.0,
116IAG,1086344,2026-07-17,2026-07-17T17:32:15.945000,69.0,
116IAG,1086344,2026-07-17,2026-07-17T17:36:34.545000,68.0,
116IAG,1086344,2026-07-17,2026-07-17T17:37:42.245000,67.0,
116IAG,1086344,2026-07-17,2026-07-17T17:38:48.750000,66.0,
